Camera,JDay,Peromyscus,Chipmunk,Neotoma,Cottontail,Rock Squirrel,Grey fox,Elk,Jackrabbit,Deer,Bat,rich,Cluster,Treatment,Lzeq,Laeq,Lux,Lat,Long,Elevation,Landcover,M_Illum,PMU,mIndex
CP12_5,169.5,32,0,0,11,0,0,0,0,0,0,2,Yellow,Light,63,42.9,0.17,36.893655,-107.675032,1967.27417,Shrubland,0.974966102,0.814873499,0.794474038
CP12_6,169.5,0,0,0,0,0,0,0,0,0,0,0,Yellow,Light,67.1,59.4,0,36.89356598,-107.674842,1966.196167,Shrubland,0.974966102,0.814873499,0.794474038
CP12_7,168.5,0,0,0,0,0,0,0,0,0,0,0,Yellow,Light,70.6,38.5,0.34,36.89237801,-107.674174,1971.955688,Shrubland,0.997173227,0.897188858,0.894652708
CP12_8,169.5,2,0,0,0,0,0,0,0,0,0,1,Yellow,Light,68,40,0.17,36.89223703,-107.674265,1974.718628,Shrubland,0.974966102,0.814873499,0.794474038
CP12_9,169.5,0,0,0,0,0,0,0,0,0,0,0,Yellow,Light,61.7,40.4,0.08,36.89261103,-107.67672,1974.270142,Shrubland,0.974966102,0.814873499,0.794474038
PC1_1,158.5,36,0,0,0,0,0,0,0,0,0,1,Pink,Light,60,34.4,0,36.99694896,-107.708673,2023.299683,Shrubland,0.243295588,0.48238974,0.117363295
PC1_10,158.5,31,0,0,0,0,0,0,0,0,0,1,Pink,Light,56.7,45.3,0.5,36.99618302,-107.709129,2015.406006,Shrubland,0.243295588,0.48238974,0.117363295
PC1_2,158.5,33,0,0,0,0,0,5,0,0,0,2,Pink,Light,68.7,40.4,0.03,36.997028,-107.708346,2027.54248,Shrubland,0.243295588,0.48238974,0.117363295
PC1_3,158.5,1,0,0,0,0,0,0,0,0,0,1,Pink,Light,60.6,34.4,0,36.99648896,-107.707843,2032.205933,Shrubland,0.243295588,0.48238974,0.117363295
PC1_4,158.5,0,0,0,0,0,0,0,0,0,0,0,Pink,Light,57.8,31.3,0.16,36.99641202,-107.707532,2031.452881,Shrubland,0.243295588,0.48238974,0.117363295
PC1_5,158.5,48,0,0,0,0,0,0,0,0,0,1,Pink,Light,58.1,32.8,0.07,36.99569302,-107.707755,2035.093628,Shrubland,0.243295588,0.48238974,0.117363295
PC1_6,158.5,78,0,0,0,0,0,0,0,0,0,1,Pink,Light,59.6,50.7,0.09,36.99560501,-107.707971,2027.785767,Shrubland,0.243295588,0.48238974,0.117363295
PC1_7,158.5,0,0,0,2,0,0,0,0,0,0,1,Pink,Light,64,39.4,0,36.99511701,-107.708827,2022.853882,Shrubland,0.243295588,0.48238974,0.117363295
PC1_8,158.5,0,0,0,0,0,0,0,0,0,0,0,Pink,Light,58.4,36.7,0.07,36.99526898,-107.709151,2020.428467,Woodland,0.243295588,0.48238974,0.117363295
PC1_9,158.5,0,0,0,0,0,0,0,0,0,0,0,Pink,Light,56.9,42,0.53,36.99612703,-107.709066,2019.673096,Shrubland,0.243295588,0.48238974,0.117363295
PC13_1,153.5,0,0,0,0,0,0,0,0,0,0,0,Red,Light,60,33.8,0.13,36.967131,-107.666737,2098.110352,Shrubland,0.014635002,0.087552851,0.001281336
PC13_10,153.5,31,0,0,0,0,0,0,0,0,0,1,Red,Light,77.4,41.5,0,36.966319,-107.66827,2095.997559,Shrubland,0.014635002,0.087552851,0.001281336
PC13_2,153.5,0,0,0,0,0,0,0,0,0,0,0,Red,Light,56.6,40.7,0.11,36.967179,-107.666515,2100.031738,Woodland,0.014635002,0.087552851,0.001281336
PC13_3,153.5,9,0,0,0,0,0,0,0,0,0,1,Red,Light,56.8,32.6,0,36.967931,-107.666066,2093.22168,Shrubland,0.014635002,0.087552851,0.001281336
PC13_4,153.5,104,0,0,0,0,0,0,0,0,0,1,Red,Light,55.2,36.6,0.02,36.967766,-107.666157,2093.049072,Woodland,0.014635002,0.087552851,0.001281336
PC13_5,153.5,0,0,0,0,0,0,0,0,0,0,0,Red,Light,63.5,38.7,0.31,36.967671,-107.667467,2099.027344,Woodland,0.014635002,0.087552851,0.001281336
PC13_7,153.5,2,0,0,0,0,2,0,0,0,0,2,Red,Light,79.1,42.4,0.04,36.967193,-107.668581,2099.083984,Shrubland,0.014635002,0.087552851,0.001281336
PC13_8,153.5,2,0,0,0,0,0,0,0,0,0,1,Red,Light,62.4,37.9,0.16,36.966984,-107.668481,2098.174561,Shrubland,0.014635002,0.087552851,0.001281336
PC13_9,153.5,10,0,0,0,0,0,0,0,0,0,1,Red,Light,78.3,41.8,0.82,36.966455,-107.668346,2094.753662,Shrubland,0.014635002,0.087552851,0.001281336
PC3_1,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Noise,73.4,44.9,0,36.91777,-107.70075,NA,Shrubland,0.641078707,0.716717305,0.459472203
