Cluster,Treatment,Site,Camera,Lzeq,Laeq,Lux,Lat,Long,Elevation
Yellow,Control,CP11,3,59.6,45.3,0,36.88544501,-107.719231,1936.259888
Yellow,Control,CP11,4,58.8,39.7,0,36.88531903,-107.719425,1934.931396
Yellow,Control,CP11,5,62.1,35.3,0,36.88639099,-107.718898,1934.455688
Yellow,Control,CP11,6,62.9,34.9,0,36.88658,-107.71872,1939.123901
Yellow,Control,CP11,7,74.5,37.9,0,36.88652099,-107.717291,1950.022217
Yellow,Control,CP11,8,58.5,33.6,0,36.88649601,-107.717084,1947.340576
Yellow,Control,CP11,9,65.1,33.5,0,36.88585597,-107.716822,1945.544678
Yellow,Control,CP11,10,66.3,32.4,0,36.88599603,-107.716604,1946.014282
Green,Control,CP05,1,67.6,62.1,0,36.91729196,-107.660795,2041.826904
Green,Control,CP05,2,68.9,65.3,0,36.91740797,-107.661101,2046.531738
Green,Control,CP05,3,64.8,47.1,0,36.91723396,-107.659448,2045.281006
Green,Control,CP05,4,65.2,50.9,0,36.91714796,-107.659181,2047.711548
Green,Control,CP05,5,67.5,51.1,0,36.91628999,-107.658992,2063.543213
Green,Control,CP05,6,66.7,53.5,0,36.91610903,-107.659022,2064.029053
Green,Control,CP05,7,66.2,41.3,0,36.91544602,-107.659979,2059.289551
Green,Control,CP05,8,66.6,58.1,0,36.91524502,-107.659969,2056.979736
Green,Control,CP05,9,68,50,0,36.916147,-107.661171,2049.984863
Green,Control,CP05,10,65.6,51.9,0,36.91595396,-107.661341,2054.215332
Green,Light,PC6,1,67.4,36.9,0,36.92239503,-107.661481,2037.0896
Green,Light,PC6,2,67.8,35.4,0.24,36.92249402,-107.66165,2036.502563
Green,Light,PC6,3,68.2,43.4,0.06,36.92303801,-107.661918,2040.385132
Green,Light,PC6,4,69.8,40.4,0.26,36.92318897,-107.662043,2042.426636
Green,Light,PC6,5,68.2,35.6,0,36.923525,-107.660588,2040.5802
Green,Light,PC6,6,68,39.3,0.04,36.92366104,-107.660479,2042.199341
Green,Light,PC6,7,66.9,37.3,0.27,36.92323498,-107.659766,2037.902344
Green,Light,PC6,8,67.6,37.9,0.21,36.92312904,-107.659793,2033.838867
Green,Light,PC6,9,67.2,39.9,0.44,36.92116801,-107.660746,2038.372925
Green,Light,PC6,10,66.4,35.2,0.09,36.92125903,-107.660853,2040.11853
Green,Noise,TP05,1,82.7,52.7,0,36.92387603,-107.667298,2040.4729
Green,Noise,TP05,2,77.5,59.7,0,36.92404803,-107.667416,2044.166748
Green,Noise,TP05,3,83.4,62.8,0,36.92374703,-107.666129,2035.730957
Green,Noise,TP05,4,79.8,64.9,0,36.923769,-107.665911,2041.052002
Green,Noise,TP05,5,80.4,45.7,0,36.92316298,-107.665282,2034.49292
Green,Noise,TP05,6,79.8,43.8,0,36.923051,-107.665399,2035.577637
Green,Noise,TP05,7,81.1,58,0,36.92230803,-107.666189,2030.048706
Green,Noise,TP05,8,81.9,52.6,0,36.92227199,-107.666487,2028.825562
Green,Noise,TP05,9,83.4,50.4,0,36.92267398,-107.667415,2029.605713
Green,Noise,TP05,10,81.2,52.8,0,36.92251498,-107.667699,2031.170654
Green,Combined,TP07,1,84.9,59.6,0,36.92168299,-107.654624,2007.09668
Green,Combined,TP07,2,80.8,52.7,0.12,36.921526,-107.654665,2012.549438
Green,Combined,TP07,3,76.4,46.1,0,36.92197099,-107.656011,2009.604492
Green,Combined,TP07,4,77.5,48.7,0,36.92215296,-107.655876,2007.305908
Green,Combined,TP07,5,83.6,54.8,0.33,36.92255404,-107.654848,2002.830566
Green,Combined,TP07,6,84.3,53.8,0.03,36.92236301,-107.654848,2000.673828
Green,Combined,TP07,7,82.2,52.2,0.23,36.92212204,-107.653436,2001.845947
Green,Combined,TP07,8,83.1,51,1.45,36.922217,-107.653413,2001.051758
Green,Combined,TP07,9,76.1,48.1,0,36.92132601,-107.653273,2003.085693
Green,Combined,TP07,10,76.4,48.7,0,36.92114999,-107.653491,2005.987549
